Report Information
Report ID,terminal_report_1765550187702
Report Name,"Terminal Output Report (12/12/2025, 8:06:27 PM)"
Description,Generated from current terminal session with 103 requests
Version,1.0.0
Author,UDS Simulator
Tags,"terminal, live-session"

Summary Statistics
Total Requests,103
Total Responses,103
Successful Responses,81
Negative Responses (NRC),22
Success Rate (%),78.64
Test Duration,1m 42s
Start Time,"12/6/2024, 9:16:40 PM"
End Time,"12/6/2024, 9:18:22 PM"

NRC Breakdown
NRC Code,Description,Count,Percentage (%)
0x7E,Sub-Function Not Supported In Active Session,6,27.27
0x12,Sub-Function Not Supported,11,50.00
0x13,Incorrect Message Length,5,22.73


Test Log (Detailed Request/Response Data)
Index,Timestamp,Request SID,Request SubFunction,Request Data,Request Description,Response SID,Response Data,Response Status,NRC Code,NRC Description,Duration (ms)
1,"12/6/2024, 9:16:40 PM",0x10,0x01,,=== CATEGORY 1: VALID RESET OPERATIONS ===,0x10,50 01 00 32 01 F4,Success,,,32050037663.00
2,"12/6/2024, 9:16:41 PM",0x10,0x03,,[SETUP] Enter Extended Session for TC-01,0x10,50 03 00 64 01 F4,Success,,,32050037693.00
3,"12/6/2024, 9:16:42 PM",0x11,0x01,,TC-01.1: Hard Reset (0x01) - Full restart,0x11,51 01,Success,,,32050037909.00
4,"12/6/2024, 9:16:43 PM",0x10,0x03,,[SETUP] Re-enter Extended Session,0x10,50 03 00 64 01 F4,Success,,,32050037936.00
5,"12/6/2024, 9:16:44 PM",0x11,0x02,,TC-01.2: Key Off/On Reset (0x02) - Simulated key cycle,0x11,51 02,Success,,,32050039189.00
6,"12/6/2024, 9:16:45 PM",0x10,0x03,,[SETUP] Re-enter Extended Session,0x10,50 03 00 64 01 F4,Success,,,32050040183.00
7,"12/6/2024, 9:16:46 PM",0x11,0x03,,TC-01.3: Soft Reset (0x03) - Application restart,0x11,51 03,Success,,,32050042190.00
8,"12/6/2024, 9:16:47 PM",0x10,0x01,,[SETUP] Return to Default after soft reset,0x10,50 01 00 32 01 F4,Success,,,32050044172.00
9,"12/6/2024, 9:16:48 PM",0x11,0x04,32,TC-01.4: Enable Rapid Power Shutdown (0x04) - 500ms,0x11,51 04 32,Success,,,32050046182.00
10,"12/6/2024, 9:16:49 PM",0x11,0x05,,TC-01.5: Disable Rapid Power Shutdown (0x05),0x11,51 05,Success,,,32050048180.00
11,"12/6/2024, 9:16:50 PM",0x10,0x01,,=== CATEGORY 2: SESSION RESTRICTION TESTS (NRC 0x7E) ===,0x10,50 01 00 32 01 F4,Success,,,32050050174.00
12,"12/6/2024, 9:16:51 PM",0x11,0x03,,TC-02.1: Soft Reset in Default Session - expect NRC 0x7E,0x11,51 03,Success,,,32050052180.00
13,"12/6/2024, 9:16:52 PM",0x11,0x04,32,TC-02.2: Enable RPS in Default Session - expect NRC 0x7E,0x11,51 04 32,Success,,,32050054178.00
14,"12/6/2024, 9:16:53 PM",0x11,0x05,,TC-02.3: Disable RPS in Default Session - expect NRC 0x7E,0x11,51 05,Success,,,32050054956.00
15,"12/6/2024, 9:16:54 PM",0x10,0x04,,[SETUP] Enter Safety Session (0x04),0x10,50 04 00 32 01 F4,Success,,,32050055026.00
16,"12/6/2024, 9:16:55 PM",0x11,0x01,,TC-02.4: Hard Reset in Safety Session - expect NRC 0x7E,0x11,7F 11 7E,NRC,0x7E,Sub-Function Not Supported In Active Session,32050055092.00
17,"12/6/2024, 9:16:56 PM",0x11,0x02,,TC-02.5: Key Off/On in Safety Session - expect NRC 0x7E,0x11,7F 11 7E,NRC,0x7E,Sub-Function Not Supported In Active Session,32050055168.00
18,"12/6/2024, 9:16:57 PM",0x11,0x03,,TC-02.6: Soft Reset in Safety Session - expect NRC 0x7E,0x11,7F 11 7E,NRC,0x7E,Sub-Function Not Supported In Active Session,32050055226.00
19,"12/6/2024, 9:16:58 PM",0x10,0x01,,[SETUP] Return to Default Session,0x10,50 01 00 32 01 F4,Success,,,32050055295.00
20,"12/6/2024, 9:16:59 PM",0x10,0x02,,[SETUP] Enter Programming Session (0x02),0x10,50 02 00 32 01 F4,Success,,,32050055360.00
21,"12/6/2024, 9:17:00 PM",0x11,0x03,,TC-02.7: Soft Reset in Programming Session - expect NRC 0x7E,0x11,7F 11 7E,NRC,0x7E,Sub-Function Not Supported In Active Session,32050055433.00
22,"12/6/2024, 9:17:01 PM",0x10,0x01,,[SETUP] Return to Default Session,0x10,50 01 00 32 01 F4,Success,,,32050055501.00
23,"12/6/2024, 9:17:02 PM",0x10,0x03,,=== CATEGORY 3: SUBFUNCTION VALIDATION (NRC 0x12) ===,0x10,50 03 00 64 01 F4,Success,,,32050055558.00
24,"12/6/2024, 9:17:03 PM",0x11,0x00,,TC-03.1: Invalid subfunction 0x00 - expect NRC 0x12,0x11,7F 11 12,NRC,0x12,Sub-Function Not Supported,32050055636.00
25,"12/6/2024, 9:17:04 PM",0x11,0x06,,TC-03.2: Reserved ISO 0x06 - expect NRC 0x12,0x11,7F 11 12,NRC,0x12,Sub-Function Not Supported,32050055709.00
26,"12/6/2024, 9:17:05 PM",0x11,0x10,,TC-03.3: Reserved ISO 0x10 - expect NRC 0x12,0x11,7F 11 12,NRC,0x12,Sub-Function Not Supported,32050055794.00
27,"12/6/2024, 9:17:06 PM",0x11,0x20,,TC-03.4: Reserved ISO 0x20 - expect NRC 0x12,0x11,7F 11 12,NRC,0x12,Sub-Function Not Supported,32050055910.00
28,"12/6/2024, 9:17:07 PM",0x11,0x3F,,TC-03.5: Reserved ISO 0x3F (last) - expect NRC 0x12,0x11,7F 11 12,NRC,0x12,Sub-Function Not Supported,32050056017.00
29,"12/6/2024, 9:17:08 PM",0x11,0x40,,TC-03.6: Vehicle Mfr 0x40 - expect NRC 0x12,0x11,7F 11 12,NRC,0x12,Sub-Function Not Supported,32050056103.00
30,"12/6/2024, 9:17:09 PM",0x11,0x50,,TC-03.7: Vehicle Mfr 0x50 - expect NRC 0x12,0x11,7F 11 12,NRC,0x12,Sub-Function Not Supported,32050056245.00
31,"12/6/2024, 9:17:10 PM",0x11,0x5F,,TC-03.8: Vehicle Mfr 0x5F (last) - expect NRC 0x12,0x11,7F 11 12,NRC,0x12,Sub-Function Not Supported,32050056337.00
32,"12/6/2024, 9:17:11 PM",0x11,0x60,,TC-03.9: System Supplier 0x60 - expect NRC 0x12,0x11,7F 11 12,NRC,0x12,Sub-Function Not Supported,32050056409.00
33,"12/6/2024, 9:17:12 PM",0x11,0x7E,,TC-03.10: System Supplier 0x7E - expect NRC 0x12,0x11,7F 11 12,NRC,0x12,Sub-Function Not Supported,32050056521.00
34,"12/6/2024, 9:17:13 PM",0x11,0x7F,,TC-03.11: Reserved 0x7F - expect NRC 0x12,0x11,7F 11 12,NRC,0x12,Sub-Function Not Supported,32050056662.00
35,"12/6/2024, 9:17:14 PM",0x10,0x01,,=== CATEGORY 4: MESSAGE LENGTH VALIDATION (NRC 0x13) ===,0x10,50 01 00 32 01 F4,Success,,,32050056783.00
36,"12/6/2024, 9:17:15 PM",0x10,0x03,,[SETUP] Enter Extended Session for length tests,0x10,50 03 00 64 01 F4,Success,,,32050056890.00
37,"12/6/2024, 9:17:16 PM",0x11,0x01,00,TC-04.1: Hard Reset with extra byte - expect NRC 0x13,0x11,7F 11 13,NRC,0x13,Incorrect Message Length,32050056979.00
38,"12/6/2024, 9:17:17 PM",0x11,0x02,00,TC-04.2: Key Off/On with extra byte - expect NRC 0x13,0x11,7F 11 13,NRC,0x13,Incorrect Message Length,32050057088.00
39,"12/6/2024, 9:17:18 PM",0x11,0x03,00,TC-04.3: Soft Reset with extra byte - expect NRC 0x13,0x11,7F 11 13,NRC,0x13,Incorrect Message Length,32050057194.00
40,"12/6/2024, 9:17:19 PM",0x11,0x04,32 00,TC-04.4: Enable RPS with extra byte - expect NRC 0x13,0x11,7F 11 13,NRC,0x13,Incorrect Message Length,32050057330.00
41,"12/6/2024, 9:17:20 PM",0x11,0x05,00,TC-04.5: Disable RPS with extra byte - expect NRC 0x13,0x11,7F 11 13,NRC,0x13,Incorrect Message Length,32050057473.00
42,"12/6/2024, 9:17:21 PM",0x10,0x01,,=== CATEGORY 5: SUPPRESS POSITIVE RESPONSE (Bit 7 = 0x80) ===,0x10,50 01 00 32 01 F4,Success,,,32050057660.00
43,"12/6/2024, 9:17:22 PM",0x10,0x03,,[SETUP] Enter Extended Session for suppress tests,0x10,50 03 00 64 01 F4,Success,,,32050057776.00
44,"12/6/2024, 9:17:23 PM",0x11,0x81,,TC-05.1: Hard Reset with suppress (0x81) - No response expected,0x11,,Success,,,32050058090.00
45,"12/6/2024, 9:17:24 PM",0x10,0x03,,[SETUP] Re-enter Extended Session,0x10,50 03 00 64 01 F4,Success,,,32050058196.00
46,"12/6/2024, 9:17:25 PM",0x11,0x82,,TC-05.2: Key Off/On with suppress (0x82) - No response expected,0x11,,Success,,,32050058649.00
