Report Information
Report ID,terminal_report_1765519882202
Report Name,"Terminal Output Report (12/12/2025, 11:41:22 AM)"
Description,Generated from current terminal session with 96 requests
Version,1.0.0
Author,UDS Simulator
Tags,"terminal, live-session"

Summary Statistics
Total Requests,96
Total Responses,96
Successful Responses,79
Negative Responses (NRC),17
Success Rate (%),82.29
Test Duration,3m 19s
Start Time,"12/19/2024, 2:50:00 PM"
End Time,"12/19/2024, 2:53:19 PM"

NRC Breakdown
NRC Code,Description,Count,Percentage (%)
0x22,Conditions Not Correct,4,23.53
0x13,Incorrect Message Length,3,17.65
0x12,Sub-Function Not Supported,4,23.53
0x31,Request Out of Range,4,23.53
0x33,Security Access Denied,2,11.76


Test Log (Detailed Request/Response Data)
Index,Timestamp,Request SID,Request SubFunction,Request Data,Request Description,Response SID,Response Data,Response Status,NRC Code,NRC Description,Duration (ms)
1,"12/19/2024, 2:50:00 PM",0x10,0x01,,[SETUP] Reset to Default Session,0x10,50 01 00 32 01 F4,Success,,,30919561930.00
2,"12/19/2024, 2:50:01 PM",0x2A,0x02,01,TC-01: Request in DEFAULT Session - Expect NRC 0x22 (Conditions Not Correct),0x2A,7F 2A 22,NRC,0x22,Conditions Not Correct,30919561955.00
3,"12/19/2024, 2:50:02 PM",0x10,0x02,,[SETUP] Enter PROGRAMMING Session for TC-02,0x10,50 02 00 32 01 F4,Success,,,30919561956.00
4,"12/19/2024, 2:50:03 PM",0x2A,0x02,01,TC-02: Request in PROGRAMMING Session - Expect NRC 0x22 (Conditions Not Correct),0x2A,7F 2A 22,NRC,0x22,Conditions Not Correct,30919562039.00
5,"12/19/2024, 2:50:04 PM",0x10,0x03,,[SETUP] Enter EXTENDED Session for TC-03,0x10,50 03 00 64 01 F4,Success,,,30919562868.00
6,"12/19/2024, 2:50:05 PM",0x2A,0x02,01,TC-03: Request in EXTENDED Session - Expect Positive Response (0x6A),0x2A,6A,Success,,,30919562894.00
7,"12/19/2024, 2:50:06 PM",0x2A,0x04,,TC-03.1: Stop All Transmissions (cleanup),0x2A,6A,Success,,,30919562943.00
8,"12/19/2024, 2:50:07 PM",0x2A,0x02,01,TC-04: Start Periodic TX before session change,0x2A,6A,Success,,,30919562975.00
9,"12/19/2024, 2:50:08 PM",0x10,0x01,,TC-04.1: Change to DEFAULT Session - Periodic TX should stop,0x10,50 01 00 32 01 F4,Success,,,30919563010.00
10,"12/19/2024, 2:50:09 PM",0x10,0x03,,[SETUP] Return to EXTENDED for TC-05,0x10,50 03 00 64 01 F4,Success,,,30919563046.00
11,"12/19/2024, 2:50:10 PM",0x2A,0x02,01,TC-05: Start Periodic TX before session change to PROGRAMMING,0x2A,6A,Success,,,30919563081.00
12,"12/19/2024, 2:50:11 PM",0x10,0x02,,TC-05.1: Change to PROGRAMMING Session - Periodic TX should stop,0x10,50 02 00 32 01 F4,Success,,,30919563117.00
13,"12/19/2024, 2:50:20 PM",0x10,0x03,,[SETUP] Enter EXTENDED Session for Transmission Mode Tests,0x10,50 03 00 64 01 F4,Success,,,30919555150.00
14,"12/19/2024, 2:50:21 PM",0x2A,0x00,01,TC-10: Mode 0x00 (Reserved) - Expect NRC 0x12 (Sub-Function Not Supported),0x2A,7F 2A 13,NRC,0x13,Incorrect Message Length,30919555192.00
15,"12/19/2024, 2:50:22 PM",0x2A,0x01,01,TC-11: Mode 0x01 (Slow Rate) with PDID 0x01 - Expect Positive Response,0x2A,6A,Success,,,30919555231.00
16,"12/19/2024, 2:50:23 PM",0x2A,0x04,,TC-11.1: Stop All (cleanup),0x2A,6A,Success,,,30919555274.00
17,"12/19/2024, 2:50:24 PM",0x2A,0x02,01,TC-12: Mode 0x02 (Medium Rate) with PDID 0x01 - Expect Positive Response,0x2A,6A,Success,,,30919555323.00
18,"12/19/2024, 2:50:25 PM",0x2A,0x04,,TC-12.1: Stop All (cleanup),0x2A,6A,Success,,,30919555368.00
19,"12/19/2024, 2:50:26 PM",0x2A,0x03,01,TC-13: Mode 0x03 (Fast Rate) with PDID 0x01 - Expect Positive Response,0x2A,6A,Success,,,30919555413.00
20,"12/19/2024, 2:50:27 PM",0x2A,0x04,,TC-14: Mode 0x04 (Stop Sending) - Expect Positive Response,0x2A,6A,Success,,,30919555470.00
21,"12/19/2024, 2:50:28 PM",0x2A,0x05,01,TC-15: Mode 0x05 (Invalid) - Expect NRC 0x12,0x2A,7F 2A 12,NRC,0x12,Sub-Function Not Supported,30919555518.00
22,"12/19/2024, 2:50:29 PM",0x2A,0x7F,01,TC-16: Mode 0x7F (Max without suppress bit) - Expect NRC 0x12,0x2A,7F 2A 12,NRC,0x12,Sub-Function Not Supported,30919555571.00
23,"12/19/2024, 2:50:30 PM",0x2A,0xFF,01,TC-17: Mode 0xFF (Max value) - Expect NRC 0x12,0x2A,7F 2A 12,NRC,0x12,Sub-Function Not Supported,30919555625.00
24,"12/19/2024, 2:50:40 PM",0x2A,,,TC-20: Missing Sub-function (only SID) - Expect NRC 0x13 (Incorrect Message Length),0x2A,7F 2A 13,NRC,0x13,Incorrect Message Length,30919546676.00
25,"12/19/2024, 2:50:41 PM",0x2A,0x02,,TC-21: Mode 0x02 without PDID - Expect NRC 0x13 (Incorrect Message Length),0x2A,7F 2A 13,NRC,0x13,Incorrect Message Length,30919546736.00
26,"12/19/2024, 2:50:42 PM",0x2A,0x04,,TC-22: Mode 0x04 alone (Stop All - no PDID required) - Expect Positive Response,0x2A,6A,Success,,,30919546796.00
27,"12/19/2024, 2:50:43 PM",0x2A,0x02,01,TC-24: Single PDID request (minimal valid) - Expect Positive Response,0x2A,6A,Success,,,30919546854.00
28,"12/19/2024, 2:50:44 PM",0x2A,0x04,,TC-24.1: Stop All (cleanup),0x2A,6A,Success,,,30919546915.00
29,"12/19/2024, 2:50:50 PM",0x2A,0x02,01,TC-30: Valid PDID 0x01 (Engine RPM) - Expect Positive Response,0x2A,6A,Success,,,30919541973.00
30,"12/19/2024, 2:50:51 PM",0x2A,0x04,,TC-30.1: Stop All,0x2A,6A,Success,,,30919542033.00
31,"12/19/2024, 2:50:52 PM",0x2A,0x02,02,TC-31: Valid PDID 0x02 (Vehicle Speed) - Expect Positive Response,0x2A,6A,Success,,,30919542090.00
32,"12/19/2024, 2:50:53 PM",0x2A,0x04,,TC-31.1: Stop All,0x2A,6A,Success,,,30919542151.00
33,"12/19/2024, 2:50:54 PM",0x2A,0x02,03,TC-32: Valid PDID 0x03 (Coolant Temp) - Expect Positive Response,0x2A,6A,Success,,,30919542255.00
34,"12/19/2024, 2:50:55 PM",0x2A,0x04,,TC-32.1: Stop All,0x2A,6A,Success,,,30919542325.00
35,"12/19/2024, 2:50:56 PM",0x2A,0x02,04,TC-33: Valid PDID 0x04 (MAF) - Expect Positive Response,0x2A,6A,Success,,,30919542388.00
36,"12/19/2024, 2:50:57 PM",0x2A,0x04,,TC-33.1: Stop All,0x2A,6A,Success,,,30919542476.00
37,"12/19/2024, 2:50:58 PM",0x2A,0x02,00,TC-34: Invalid PDID 0x00 - Expect NRC 0x31 (Request Out Of Range),0x2A,7F 2A 31,NRC,0x31,Request Out of Range,30919542549.00
38,"12/19/2024, 2:50:59 PM",0x2A,0x02,99,TC-35: Invalid PDID 0x99 - Expect NRC 0x31 (Request Out Of Range),0x2A,7F 2A 31,NRC,0x31,Request Out of Range,30919542622.00
39,"12/19/2024, 2:51:00 PM",0x2A,0x02,FF,TC-36: Invalid PDID 0xFF - Expect NRC 0x31 (Request Out Of Range),0x2A,7F 2A 31,NRC,0x31,Request Out of Range,30919542700.00
40,"12/19/2024, 2:51:01 PM",0x2A,0x02,01 02 03,"TC-37: Multiple valid PDIDs (0x01, 0x02, 0x03) in single request - Expect Positive Response",0x2A,6A,Success,,,30919542772.00
41,"12/19/2024, 2:51:02 PM",0x2A,0x04,,TC-37.1: Stop All (cleanup),0x2A,6A,Success,,,30919542852.00
42,"12/19/2024, 2:51:10 PM",0x2A,0x02,0A,TC-40: Protected PDID 0x0A while LOCKED - Expect NRC 0x33 (Security Access Denied),0x2A,7F 2A 33,NRC,0x33,Security Access Denied,30919535925.00
43,"12/19/2024, 2:51:11 PM",0x27,0x01,,TC-41: Security Access - Request Seed,0x27,67 01 12 34 56 78,Success,,,30919535998.00
44,"12/19/2024, 2:51:12 PM",0x27,0x02,B7 6E A6 77,TC-42: Security Access - Send Key (correct key),0x27,67 02,Success,,,30919536083.00
45,"12/19/2024, 2:51:13 PM",0x2A,0x02,0A,TC-43: Protected PDID 0x0A while UNLOCKED - Expect Positive Response,0x2A,6A,Success,,,30919536164.00
46,"12/19/2024, 2:51:14 PM",0x2A,0x04,,TC-43.1: Stop All,0x2A,6A,Success,,,30919536251.00
