Report Information
Report ID,terminal_report_1765480336566
Report Name,"Terminal Output Report (12/12/2025, 12:42:16 AM)"
Description,Generated from current terminal session with 194 requests
Version,1.0.0
Author,UDS Simulator
Tags,"terminal, live-session"

Summary Statistics
Total Requests,194
Total Responses,194
Successful Responses,170
Negative Responses (NRC),24
Success Rate (%),87.63
Test Duration,3m 13s
Start Time,"12/18/2024, 11:03:20 AM"
End Time,"12/18/2024, 11:06:33 AM"

NRC Breakdown
NRC Code,Description,Count,Percentage (%)
0x70,Upload/Download Not Accepted,2,8.33
0x33,Security Access Denied,1,4.17
0x13,Incorrect Message Length,8,33.33
0x31,Request Out of Range,8,33.33
0x22,Conditions Not Correct,2,8.33
0x24,Request Sequence Error,3,12.50


Test Log (Detailed Request/Response Data)
Index,Timestamp,Request SID,Request SubFunction,Request Data,Request Description,Response SID,Response Data,Response Status,NRC Code,NRC Description,Duration (ms)
1,"12/18/2024, 11:03:20 AM",0x10,0x01,,[SETUP] Reset to Default Session - Clean state initialization,0x10,50 01 00 32 01 F4,Success,,,30980101722.00
2,"12/18/2024, 11:03:21 AM",0x35,,00 44 00 10 00 00 00 00 10 00,TC-01: Session Validation - DEFAULT session upload attempt - Expect NRC 0x70 (Upload/Download Not Accepted),0x35,7F 35 70,NRC,0x70,Upload/Download Not Accepted,30980101739.00
3,"12/18/2024, 11:03:22 AM",0x10,0x01,,[SETUP] Reset to Default for TC-02,0x10,50 01 00 32 01 F4,Success,,,30980101748.00
4,"12/18/2024, 11:03:23 AM",0x10,0x03,,TC-02.1: Switch to EXTENDED Diagnostic session (0x03),0x10,50 03 00 64 01 F4,Success,,,30980101752.00
5,"12/18/2024, 11:03:24 AM",0x35,,00 44 00 10 00 00 00 00 10 00,TC-02.2: Session Validation - EXTENDED session upload attempt - Expect NRC 0x70 (needs PROGRAMMING),0x35,7F 35 70,NRC,0x70,Upload/Download Not Accepted,30980101767.00
6,"12/18/2024, 11:03:25 AM",0x10,0x01,,[SETUP] Reset to Default for TC-03,0x10,50 01 00 32 01 F4,Success,,,30980101797.00
7,"12/18/2024, 11:03:26 AM",0x10,0x02,,TC-03.1: Switch to PROGRAMMING session (0x02),0x10,50 02 00 32 01 F4,Success,,,30980101831.00
8,"12/18/2024, 11:03:27 AM",0x35,,00 44 00 10 00 00 00 00 10 00,TC-03.2: Security Validation - Upload without security unlock - Expect NRC 0x33 (Security Access Denied),0x35,7F 35 33,NRC,0x33,Security Access Denied,30980101850.00
9,"12/18/2024, 11:03:28 AM",0x10,0x01,,[SETUP] Reset to Default for TC-04,0x10,50 01 00 32 01 F4,Success,,,30980101880.00
10,"12/18/2024, 11:03:29 AM",0x10,0x02,,TC-04.1: Switch to PROGRAMMING session,0x10,50 02 00 32 01 F4,Success,,,30980101921.00
